Q1JEP1.1     12    398     12    398  PF01640.5     1   394    746.6  3.9e-229  Peptidase_C10    CL0125.5
Q55U49.1    895   1146    895   1146  PF00621.1     1   180    118.4   2.1e-38  RhoGEF           No_clan
P28685.1     47    115     32    124  PF07679.6    13    82     37.8   3.8e-13  I-set            CL0011.5
P28685.1     50    108     49    108  PF00047.2     2    62     26.6   1.5e-09  ig               CL0011.5
P28685.1    136    208    128    216  PF07679.6     8    79     11.1   8.3e-05  I-set            CL0011.5
P28685.1    241    312    234    318  PF07679.6     7    84     39.7   9.4e-14  I-set            CL0011.5
P28685.1    249    303    249    303  PF00047.2     1    62     30.1   1.2e-10  ig               CL0011.5
P28685.1    249    305    238    318  PF07686.6    16   101     16.6   1.6e-06  V-set            CL0011.5
P28685.1    328    407    322    407  PF07679.6     7    90     57.7   2.2e-19  I-set            CL0011.5
P28685.1    338    392    336    392  PF00047.2     3    62     23.7   1.2e-08  ig               CL0011.5
P28685.1    371    407    330    408  PF07686.6    78   115     13.8   1.1e-05  V-set            CL0011.5
P28685.1    421    488    414    500  PF07686.6     9   102     16.0   2.4e-06  V-set            CL0011.5
P28685.1    429    485    428    485  PF00047.2     2    62     25.7   2.7e-09  ig               CL0011.5
P28685.1    430    500    419    500  PF07679.6    17    90     45.5   1.4e-15  I-set            CL0011.5
P28685.1    505    599    504    599  PF07679.6     2    90     37.6   4.4e-13  I-set            CL0011.5
P28685.1    507    599    503    600  PF07686.6     5   115     23.5   1.1e-08  V-set            CL0011.5
P28685.1    518    584    518    584  PF00047.2     1    62     24.1     9e-09  ig               CL0011.5
P28685.1    605    692    604    692  PF00041.3     2    84     51.1   2.2e-17  fn3              CL0159.7
P28685.1    718    795    708    795  PF00041.3    12    84     27.0     8e-10  fn3              CL0159.7
P28685.1    810    896    809    896  PF00041.3     2    84     61.0   1.8e-20  fn3              CL0159.7
P28685.1    911    954    910    977  PF00041.3     2    43     11.5   5.7e-05  fn3              CL0159.7
