Q1JEP1.1     12    398     12    398  PF01640.5     1   394    746.6  3.9e-229  Peptidase_C10    CL0125.5   predicted_active_site[192,340]
Q55U49.1    895   1146    895   1146  PF00621.1     1   180    118.4   4.2e-38  RhoGEF           No_clan
Q55U49.1   1232   1309   1227   1310  PF00169.1    20   100      8.0   0.00046  PH               CL0266.5
P28685.1     47    115     32    124  PF07679.6    13    82     37.8   3.8e-13  I-set            CL0011.5
P28685.1    136    208    128    216  PF07679.6     8    79     11.1   8.3e-05  I-set            CL0011.5
P28685.1    241    312    234    318  PF07679.6     7    84     39.7   9.4e-14  I-set            CL0011.5
P28685.1    328    407    322    407  PF07679.6     7    90     57.7   2.2e-19  I-set            CL0011.5
P28685.1    430    500    419    500  PF07679.6    17    90     45.5   1.4e-15  I-set            CL0011.5
P28685.1    505    599    504    599  PF07679.6     2    90     37.6   4.4e-13  I-set            CL0011.5
P28685.1    605    692    604    692  PF00041.3     2    84     51.1   2.2e-17  fn3              CL0159.7
P28685.1    718    795    708    795  PF00041.3    12    84     27.0     8e-10  fn3              CL0159.7
P28685.1    810    896    809    896  PF00041.3     2    84     61.0   1.8e-20  fn3              CL0159.7
P28685.1    911    954    910    977  PF00041.3     2    43     11.5   5.7e-05  fn3              CL0159.7
